customerid,firstname,lastname,address1,address2,city,state,zip,country,region,email,phone,creditcardtype,creditcard,creditcardexpiration,username,password,age,income,gender
26,JDRCWP,FRNIYTDANK,1757661798 Dell Way,,FLEILAQ,CT,51575,US,1,FRNIYTDANK@dell.com,1757661798,4,8073390801902861,2011/11,user26,password,81,20000,F
27,NEYCKP,QSOKVPXFUJ,6716835282 Dell Way,,JCVKTYW,TN,74298,US,1,QSOKVPXFUJ@dell.com,6716835282,3,6621923426631839,2010/07,user27,password,67,20000,M
28,PDDFUV,TERICXCMHF,6049066172 Dell Way,,HRYFNUY,DC,36514,US,1,TERICXCMHF@dell.com,6049066172,4,8860724361613394,2009/09,user28,password,63,100000,M
29,UAPQTU,HBWEEJLJQC,3449703700 Dell Way,,IWPCUTK,LA,45481,US,1,HBWEEJLJQC@dell.com,3449703700,3,1614113333169371,2012/06,user29,password,82,80000,F
30,MHFGOH,DTMMFWDHEA,2016678561 Dell Way,,XHVQREB,WI,79755,US,1,DTMMFWDHEA@dell.com,2016678561,5,2865310022607446,2012/07,user30,password,66,60000,M
31,XSKFVE,RIJNLQSLOA,4837704029 Dell Way,,GESLGQF,KY,56291,US,1,RIJNLQSLOA@dell.com,4837704029,2,1454196398146450,2008/10,user31,password,82,100000,M
32,HEJLWR,UKDLCPZCWE,1184575169 Dell Way,,UIKLNTZ,WI,17967,US,1,UKDLCPZCWE@dell.com,1184575169,1,9080948004499080,2012/01,user32,password,48,20000,F
33,UQBLKL,PVOFURBZMJ,1806894893 Dell Way,,JYXCXWE,VT,93580,US,1,PVOFURBZMJ@dell.com,1806894893,5,9715552329085768,2010/01,user33,password,31,40000,M
34,GTASJW,HORYQQLAZJ,7282866423 Dell Way,,YCGUHES,MA,10625,US,1,HORYQQLAZJ@dell.com,7282866423,5,1105126248672604,2012/03,user34,password,64,20000,M
35,RWHOEV,FCLWOLWXKY,4409192440 Dell Way,,EEGJXQJ,NJ,56565,US,1,FCLWOLWXKY@dell.com,4409192440,3,7246819562744350,2008/08,user35,password,63,80000,M
36,XGRSMU,EIIQEGADKF,3021789304 Dell Way,,KUDADTN,MT,32229,US,1,EIIQEGADKF@dell.com,3021789304,3,9073497921694072,2012/03,user36,password,48,80000,F
37,CMYWQG,FHLLHPWNZQ,5803405046 Dell Way,,QZUKNIQ,OR,87777,US,1,FHLLHPWNZQ@dell.com,5803405046,3,1896664091385901,2012/04,user37,password,60,20000,M
38,NYLUDS,GPAVMNUDEU,2906073166 Dell Way,,YOHGFAC,OR,65430,US,1,GPAVMNUDEU@dell.com,2906073166,4,9456843751948328,2011/09,user38,password,71,40000,M
39,ECUWIJ,WDWKYZOSXC,6284773018 Dell Way,,AEIAGAQ,MO,74187,US,1,WDWKYZOSXC@dell.com,6284773018,2,4912659454625100,2009/07,user39,password,23,60000,M
40,WIZGFD,CPBCDTZGTD,7725075074 Dell Way,,OUKPLXI,AL,24179,US,1,CPBCDTZGTD@dell.com,7725075074,2,7576088857371361,2012/10,user40,password,46,80000,F
41,JYINBY,ODBICICGXX,5021884093 Dell Way,,RMJOUKS,NC,76640,US,1,ODBICICGXX@dell.com,5021884093,2,6023778205737472,2012/01,user41,password,69,40000,F
42,BSBZHE,AQHJTNGQFT,7225708050 Dell Way,,ATNKMCD,WA,51342,US,1,AQHJTNGQFT@dell.com,7225708050,4,5741442908532918,2009/12,user42,password,56,60000,M
43,PKATLQ,AUKOBAUUAO,4599311991 Dell Way,,ILAKOYW,ID,74576,US,1,AUKOBAUUAO@dell.com,4599311991,4,7362957327160985,2012/02,user43,password,49,60000,F
44,LGYCHT,MWUNQPOEYZ,6118785825 Dell Way,,FINDFUW,NJ,49850,US,1,MWUNQPOEYZ@dell.com,6118785825,3,5789964983239770,2012/01,user44,password,20,60000,F
45,ZNPSZM,NNCDBHBAMK,3934871591 Dell Way,,OQPJMFU,AR,78641,US,1,NNCDBHBAMK@dell.com,3934871591,1,8396578761748970,2009/06,user45,password,28,40000,M
46,TBZFPM,ISOQTOCDDS,5928516639 Dell Way,,TMFZGGS,NH,38220,US,1,ISOQTOCDDS@dell.com,5928516639,5,8143781044054777,2011/04,user46,password,75,60000,F
47,URXHAP,VQJJTNNMGZ,1468092885 Dell Way,,RFGYYVG,MO,79543,US,1,VQJJTNNMGZ@dell.com,1468092885,1,1439432312734425,2012/08,user47,password,45,80000,F
48,HXIXSY,GCSTPEAPVF,5164479008 Dell Way,,VUEQBRK,CO,85154,US,1,GCSTPEAPVF@dell.com,5164479008,5,5145818285178393,2012/07,user48,password,73,20000,F
49,CAFAHI,TAYXBNTGIN,4483097562 Dell Way,,LZPCJRY,TX,65999,US,1,TAYXBNTGIN@dell.com,4483097562,4,2767849665600806,2008/10,user49,password,67,40000,M
50,XGCFAD,DXERQLZEWY,3309250755 Dell Way,,TYILWEB,ID,87593,US,1,DXERQLZEWY@dell.com,3309250755,3,7016217195894570,2012/08,user50,password,53,100000,M
51,PBXSEV,WWMHVQDUKC,8443500542 Dell Way,,DWZHXGE,DE,70302,US,1,WWMHVQDUKC@dell.com,8443500542,1,3863717397209257,2009/12,user51,password,35,100000,M
52,EPEZLA,LTVCXQNZTJ,3004564116 Dell Way,,ZBGGFLX,AL,57677,US,1,LTVCXQNZTJ@dell.com,3004564116,2,5146914470475167,2010/03,user52,password,49,80000,M
53,PPHQAA,MDYCQYVZXX,7102610410 Dell Way,,GDCRBDF,ID,52077,US,1,MDYCQYVZXX@dell.com,7102610410,4,7402909262105823,2008/05,user53,password,58,80000,M
54,WIZWUC,VXTTSTQPZU,1023603196 Dell Way,,SRVVXDH,NE,86106,US,1,VXTTSTQPZU@dell.com,1023603196,4,2668283766135573,2010/05,user54,password,26,60000,M
55,BHNECK,XVDQMTQHMH,3574669247 Dell Way,,DHFGOUC,NE,51427,US,1,XVDQMTQHMH@dell.com,3574669247,1,8774650241713972,2009/07,user55,password,61,60000,M
56,DQXOOT,REGLVOXDRF,4761523925 Dell Way,,IYUCBJO,KS,53642,US,1,REGLVOXDRF@dell.com,4761523925,4,1167002467904239,2008/03,user56,password,79,20000,M
57,TSKNJP,UVKITNAYWY,6110351941 Dell Way,,SYABMIO,VT,15705,US,1,UVKITNAYWY@dell.com,6110351941,5,3408206243067980,2010/01,user57,password,26,20000,M
58,NRECLZ,NUTBURXTJV,4833048217 Dell Way,,TLICZGE,ND,25277,US,1,NUTBURXTJV@dell.com,4833048217,5,3229167290963232,2010/02,user58,password,19,20000,M
59,EEGERB,XSWOPPYLJK,4842132323 Dell Way,,UMKAQZE,AR,94176,US,1,XSWOPPYLJK@dell.com,4842132323,3,1609264146536588,2010/08,user59,password,82,80000,M
60,DUNFRG,BGWRFHAPBM,9649127091 Dell Way,,ZBCYGEX,NY,77389,US,1,BGWRFHAPBM@dell.com,9649127091,1,4611537483520806,2012/09,user60,password,34,100000,M
61,TEFZGL,VXQCXGEKGG,8449346521 Dell Way,,NFNRCEL,AR,37621,US,1,VXQCXGEKGG@dell.com,8449346521,5,1476791314315050,2008/11,user61,password,60,80000,F
62,UTHGOF,WRDDWNJCBO,2219900888 Dell Way,,PSQUDRC,WV,61548,US,1,WRDDWNJCBO@dell.com,2219900888,1,5048757464159280,2011/10,user62,password,55,60000,M
63,VTDAQU,DTQRCTSRIL,1055097560 Dell Way,,HCPZFOO,KS,64664,US,1,DTQRCTSRIL@dell.com,1055097560,1,4810401593800634,2010/07,user63,password,90,40000,F
64,DJYXMR,OEUIWLRITU,5734550591 Dell Way,,XSZMHHC,IL,41518,US,1,OEUIWLRITU@dell.com,5734550591,5,9145867860410364,2010/02,user64,password,32,80000,M
65,DOAUDE,PLBACKUWHM,4563891355 Dell Way,,VUUDXBM,MI,89266,US,1,PLBACKUWHM@dell.com,4563891355,5,1298333559185266,2010/07,user65,password,57,80000,F
66,ONGTCS,UDVEXRMKNH,2559052903 Dell Way,,ERFGEQD,ND,62223,US,1,UDVEXRMKNH@dell.com,2559052903,1,2450195379555225,2011/11,user66,password,39,40000,F
67,OANHVR,CAOUMZIUEZ,4337782111 Dell Way,,ZLDQOSF,OR,87650,US,1,CAOUMZIUEZ@dell.com,4337782111,3,7699506011325867,2011/09,user67,password,29,40000,M
68,RNOIPO,XKBWSWASWL,2521982461 Dell Way,,WMAORTL,AZ,29353,US,1,XKBWSWASWL@dell.com,2521982461,4,9546184672508390,2009/12,user68,password,69,100000,F
69,GICVFN,XCFTCYPOUC,5621417868 Dell Way,,PIUJUVO,WA,61844,US,1,XCFTCYPOUC@dell.com,5621417868,2,5908201500773430,2009/04,user69,password,20,60000,M
70,DIUQFW,WYZUOOOQDX,4579724741 Dell Way,,LMRHBQW,ND,90023,US,1,WYZUOOOQDX@dell.com,4579724741,4,2270859372802078,2010/03,user70,password,69,60000,M
71,MFTJBS,IWHWKYZIJM,7151078438 Dell Way,,AQNQNCO,VA,86660,US,1,IWHWKYZIJM@dell.com,7151078438,2,1909482368268072,2009/11,user71,password,66,100000,F
72,LGDDOA,LLKJKTTXUK,5076143849 Dell Way,,KLXNZVJ,NV,22494,US,1,LLKJKTTXUK@dell.com,5076143849,1,1294616055209189,2008/12,user72,password,27,60000,F
73,HRTHDE,SNPLGMGRXR,5940442139 Dell Way,,OKQJTHN,GA,42285,US,1,SNPLGMGRXR@dell.com,5940442139,2,3680636959616095,2011/11,user73,password,52,100000,M
74,FGRJYE,YKLKQCIHRS,9144738893 Dell Way,,YAMGORP,CO,97924,US,1,YKLKQCIHRS@dell.com,9144738893,4,8466012486256660,2009/09,user74,password,45,60000,M
75,AYXFXH,QIYSQFJJEK,3559184079 Dell Way,,VKZMABL,WA,86608,US,1,QIYSQFJJEK@dell.com,3559184079,2,6260699358303100,2011/11,user75,password,58,80000,M
76,LXTTNB,RGSXQBBBWM,5843842130 Dell Way,,AJNCULY,CA,77025,US,1,RGSXQBBBWM@dell.com,5843842130,4,6731045445892960,2008/06,user76,password,53,60000,F
77,FIWHZC,ZXTBZUYMVH,8203956428 Dell Way,,ZYCKXEE,ME,91924,US,1,ZXTBZUYMVH@dell.com,8203956428,3,4091474133078009,2009/01,user77,password,67,60000,F
78,NUJQUH,KWGFUTABSZ,5901074984 Dell Way,,DDWHHHF,CA,83709,US,1,KWGFUTABSZ@dell.com,5901074984,2,9049576921388508,2009/11,user78,password,38,80000,M
79,RKMYUI,FZCYADRAHU,8947035148 Dell Way,,WOCETEZ,IN,60391,US,1,FZCYADRAHU@dell.com,8947035148,3,5019842551089823,2008/04,user79,password,27,100000,M
80,QULYZL,BYMFPMMKJA,7038885902 Dell Way,,MNURNCF,MD,66172,US,1,BYMFPMMKJA@dell.com,7038885902,3,9086241888813676,2012/05,user80,password,59,60000,F
81,AJEMKC,ZPSLCCVCPI,5684336516 Dell Way,,XGWZMGQ,DC,85073,US,1,ZPSLCCVCPI@dell.com,5684336516,5,3071253094356507,2008/05,user81,password,47,20000,M
82,OPEROU,KAWNVYDEWJ,4250067926 Dell Way,,AWWHMAD,WY,98473,US,1,KAWNVYDEWJ@dell.com,4250067926,1,4282251605298370,2011/03,user82,password,26,40000,M
83,HAJBLJ,XZEWCJSMJP,7328085613 Dell Way,,IRBJVBI,DE,23592,US,1,XZEWCJSMJP@dell.com,7328085613,5,4187984682153911,2012/04,user83,password,29,20000,F
84,NDTWBS,BYVKQHUGPM,8804140647 Dell Way,,HZHJHLN,AK,45455,US,1,BYVKQHUGPM@dell.com,8804140647,5,7080934641417117,2008/12,user84,password,90,60000,F
85,TKDMLB,HWSORYEDGE,9566648908 Dell Way,,LPMWCMH,WV,36979,US,1,HWSORYEDGE@dell.com,9566648908,5,2994280820246786,2012/07,user85,password,39,80000,M
86,KEKMMG,EAYCFBIJMY,8481905861 Dell Way,,VJAIQAP,NH,10347,US,1,EAYCFBIJMY@dell.com,8481905861,3,5738052499946207,2008/03,user86,password,50,60000,F
87,VAWCEX,AGDCPNPNJZ,1912388650 Dell Way,,ORQOHFO,CO,79369,US,1,AGDCPNPNJZ@dell.com,1912388650,2,1135459203738719,2010/10,user87,password,49,40000,M
88,IMYGNF,JPVWEIGDXX,7842002899 Dell Way,,TMEZBHT,DC,54656,US,1,JPVWEIGDXX@dell.com,7842002899,4,3349915018305182,2008/02,user88,password,20,60000,M
89,ZTBECR,ZZVIFZFDSR,3881306276 Dell Way,,HSTOLWB,GA,61593,US,1,ZZVIFZFDSR@dell.com,3881306276,2,6911563112400473,2009/11,user89,password,34,40000,M
90,HMTYMT,UVZTACMSJE,6012148553 Dell Way,,LYPIAUX,KS,27127,US,1,UVZTACMSJE@dell.com,6012148553,4,1807652772404253,2011/12,user90,password,71,20000,F
91,MAZFUU,ENVGZNQDZP,8338619980 Dell Way,,TIPNFXS,RI,61453,US,1,ENVGZNQDZP@dell.com,8338619980,3,6087300324812532,2010/08,user91,password,22,20000,M
92,BFKVKY,QQXEHBEWUM,5313838823 Dell Way,,LISIBMX,UT,12099,US,1,QQXEHBEWUM@dell.com,5313838823,3,6740367790218443,2010/06,user92,password,36,60000,M
93,RKAPBR,MGZOKVIXHR,7656402342 Dell Way,,PQSCNPC,AK,98954,US,1,MGZOKVIXHR@dell.com,7656402342,3,4691996377892792,2012/02,user93,password,21,80000,M
94,CGPUTV,THGPQDWHTM,1007417866 Dell Way,,AVAPYAP,NY,61905,US,1,THGPQDWHTM@dell.com,1007417866,4,7348126735538245,2008/05,user94,password,35,20000,M
95,VXIRRQ,XGHBCPUPPQ,9091236773 Dell Way,,PFOQUGF,SD,91490,US,1,XGHBCPUPPQ@dell.com,9091236773,5,3153780541848391,2008/01,user95,password,78,100000,M
96,EQPUNV,CPYRKNHACN,9652656132 Dell Way,,PSIVXDS,SD,97822,US,1,CPYRKNHACN@dell.com,9652656132,5,9816991902422160,2011/12,user96,password,83,100000,M
97,MTCIVR,GNBTVBWIQP,7278548154 Dell Way,,QMMTEHS,DC,32789,US,1,GNBTVBWIQP@dell.com,7278548154,5,2557797038927674,2010/11,user97,password,70,20000,M
98,UKMMQA,NKVPGDGVTS,1547526094 Dell Way,,INXQFBX,WA,99947,US,1,NKVPGDGVTS@dell.com,1547526094,3,9011170953046532,2011/08,user98,password,57,60000,F
99,ABRAPB,WEIZKETDNH,9885368844 Dell Way,,ADNCALC,CA,95338,US,1,WEIZKETDNH@dell.com,9885368844,5,6015513976104558,2010/06,user99,password,59,60000,M
100,FPCHLG,QLRUFUHMVL,9250484007 Dell Way,,ZYLKBNJ,AL,45808,US,1,QLRUFUHMVL@dell.com,9250484007,3,8659899443387986,2010/02,user100,password,44,80000,M
101,LADSQO,JKUESHADGZ,4081060163 Dell Way,,ORACABM,WI,63156,US,1,JKUESHADGZ@dell.com,4081060163,3,7210860711988062,2011/02,user101,password,45,20000,F
102,NWTCGE,WLWDLZKLNB,7874303452 Dell Way,,LQCMDBB,MN,52679,US,1,WLWDLZKLNB@dell.com,7874303452,1,6542575670871884,2008/04,user102,password,73,80000,F
103,NSKRPV,OTHNDSBFER,4941352913 Dell Way,,HQVJSHV,MO,49863,US,1,OTHNDSBFER@dell.com,4941352913,4,7841232322156430,2008/04,user103,password,86,80000,M
104,IKPEYI,MMMENRIFZZ,5599346700 Dell Way,,AISIDET,NE,82321,US,1,MMMENRIFZZ@dell.com,5599346700,4,1622023951262235,2010/06,user104,password,22,80000,M
105,QZWZLI,LPWCYBCYCK,7270570272 Dell Way,,QKOVEDQ,NY,92320,US,1,LPWCYBCYCK@dell.com,7270570272,1,4695855054073036,2011/11,user105,password,40,60000,M
106,EKHMVX,IYWKAUNLLY,5127891259 Dell Way,,ZGCDXUB,NH,90730,US,1,IYWKAUNLLY@dell.com,5127891259,2,8246030778624118,2011/10,user106,password,67,100000,F
107,ZKZXTY,TEZORKZQKG,2817086674 Dell Way,,SNDMPTK,AR,17360,US,1,TEZORKZQKG@dell.com,2817086674,5,8563901439309121,2012/09,user107,password,90,100000,F
108,ZTXXMC,WAUGAKRHDF,1721490290 Dell Way,,LQUEAVG,HI,68232,US,1,WAUGAKRHDF@dell.com,1721490290,1,4522647375240922,2008/12,user108,password,58,20000,M
109,MYEOUF,IBGSTNWYYM,6452446201 Dell Way,,TCMOJSF,ME,83040,US,1,IBGSTNWYYM@dell.com,6452446201,3,7893348607234658,2008/07,user109,password,51,80000,F
110,QEHWNI,DGCQCAPOTS,4109508464 Dell Way,,BIBTNMP,DC,98040,US,1,DGCQCAPOTS@dell.com,4109508464,2,5642515898682178,2012/12,user110,password,90,60000,F
111,GIQPLW,RCYSRNLJOU,4645878337 Dell Way,,LIIXXLX,ID,77448,US,1,RCYSRNLJOU@dell.com,4645878337,1,7074275085236878,2009/07,user111,password,75,80000,M
112,KHHGYJ,FRBSDKHXWQ,1754146260 Dell Way,,FTORQVK,AR,90684,US,1,FRBSDKHXWQ@dell.com,1754146260,3,4792518061585725,2012/02,user112,password,37,40000,F
113,ONJXTA,ZMDJUAGKGZ,2079674498 Dell Way,,ZXQUHSS,MA,24662,US,1,ZMDJUAGKGZ@dell.com,2079674498,2,3534821788780391,2009/07,user113,password,67,100000,F
114,AWUAVH,EFBFLMLLLI,3189182691 Dell Way,,CGQUYAZ,AZ,36056,US,1,EFBFLMLLLI@dell.com,3189182691,3,8334010239224882,2012/05,user114,password,81,100000,F
115,RZCYDH,ZISMUEXDGE,9050788475 Dell Way,,TBCUAEC,ID,66758,US,1,ZISMUEXDGE@dell.com,9050788475,1,1235684926621615,2011/02,user115,password,38,60000,F
116,JKGQKO,JWJNTMUYFV,8858951903 Dell Way,,BAWFCCW,WY,35427,US,1,JWJNTMUYFV@dell.com,8858951903,4,4559770044870675,2008/03,user116,password,53,60000,M
117,SEZHNV,QBPCVNIROJ,3862314451 Dell Way,,NULQQLX,MS,28694,US,1,QBPCVNIROJ@dell.com,3862314451,4,4628714819438756,2012/03,user117,password,89,60000,F
118,YUWULX,JOTWXLLHZF,8102950769 Dell Way,,SPVENIK,TN,99033,US,1,JOTWXLLHZF@dell.com,8102950769,4,2408726370427757,2011/02,user118,password,53,80000,M
119,IMKGWZ,ZTXLEEKKXZ,7448935926 Dell Way,,GBNOLJO,IA,10295,US,1,ZTXLEEKKXZ@dell.com,7448935926,1,2482879911083728,2008/09,user119,password,27,60000,F
120,OUCOUV,LFAPPKNPQO,6595474595 Dell Way,,CFALUHL,MO,37519,US,1,LFAPPKNPQO@dell.com,6595474595,4,1476338486187160,2011/03,user120,password,39,40000,M
121,KWTFHZ,GXOQKDHZFM,6798147794 Dell Way,,ARGHDTP,PA,49164,US,1,GXOQKDHZFM@dell.com,6798147794,3,6879583658184857,2012/10,user121,password,65,40000,M
122,KOZJVW,YLGBTFHGFZ,4065978990 Dell Way,,NNDGCWR,OR,45437,US,1,YLGBTFHGFZ@dell.com,4065978990,4,2960724868346006,2012/01,user122,password,83,60000,M
123,WUKSSW,YUPECVKBIX,7123033009 Dell Way,,EPZBGTM,NJ,47412,US,1,YUPECVKBIX@dell.com,7123033009,3,4887257677968592,2010/01,user123,password,19,60000,M
124,KDNGCI,VGKRRMZORP,2220276636 Dell Way,,OTWHFLS,UT,14819,US,1,VGKRRMZORP@dell.com,2220276636,3,1511949831619858,2008/11,user124,password,79,60000,F
125,JVCRQJ,CIAOIPFXDY,3776657381 Dell Way,,TLDFDAG,ID,53111,US,1,CIAOIPFXDY@dell.com,3776657381,3,4190435957163572,2008/12,user125,password,44,60000,M
126,MFLVHT,WVBLBZPASA,1160092385 Dell Way,,EXDEEKR,MN,84486,US,1,WVBLBZPASA@dell.com,1160092385,4,8194721666630358,2009/02,user126,password,60,100000,F
127,ARPTOL,VZMUPMMPQK,8003738523 Dell Way,,TVODMAZ,MT,68240,US,1,VZMUPMMPQK@dell.com,8003738523,5,8104929108172656,2009/09,user127,password,27,40000,F
128,TDZEYZ,RTOEGDVRWQ,7115704372 Dell Way,,FADGAQX,SC,58787,US,1,RTOEGDVRWQ@dell.com,7115704372,1,3566918413620442,2012/07,user128,password,69,60000,M
129,RSPQKJ,EOPIJGFAMG,6569254887 Dell Way,,DSGUPAI,IL,25921,US,1,EOPIJGFAMG@dell.com,6569254887,1,7207910898141564,2009/08,user129,password,42,20000,F
130,YRUHWI,XESDJSQQWJ,7879493371 Dell Way,,WQZXZGB,NH,42082,US,1,XESDJSQQWJ@dell.com,7879493371,5,1020454077515751,2008/12,user130,password,45,20000,M
131,DILMFQ,EJAXZQTJMJ,9370650948 Dell Way,,IJJOLYY,HI,89715,US,1,EJAXZQTJMJ@dell.com,9370650948,2,8417101474478842,2009/05,user131,password,48,60000,M
132,WYWMCG,MZFCTOPDXZ,2364824409 Dell Way,,MLLLKQI,KS,97547,US,1,MZFCTOPDXZ@dell.com,2364824409,4,3896020112093538,2010/01,user132,password,90,60000,F
133,WXDCKC,IMWXCZUBLG,4938118819 Dell Way,,MXQDFYD,MA,61179,US,1,IMWXCZUBLG@dell.com,4938118819,5,6804848136845977,2010/05,user133,password,65,40000,F
134,UJRXSE,TPHSJIEQVB,4649670859 Dell Way,,GZHECRT,MT,64118,US,1,TPHSJIEQVB@dell.com,4649670859,5,9834340581204744,2008/03,user134,password,38,100000,M
135,ZSHELX,LEHTIXPJDO,9021567530 Dell Way,,QIQICEX,MS,19756,US,1,LEHTIXPJDO@dell.com,9021567530,3,4042470287531614,2008/05,user135,password,87,20000,F
136,GHODSS,LMAICKLQBU,9031787945 Dell Way,,HJWLGJO,DE,93829,US,1,LMAICKLQBU@dell.com,9031787945,2,3841774760745466,2012/06,user136,password,48,20000,M
137,ZGMRRZ,RZBCLRDFZM,7600041415 Dell Way,,CKTMZXK,TX,31046,US,1,RZBCLRDFZM@dell.com,7600041415,4,7242152146063746,2008/10,user137,password,50,20000,F
138,XUSWLR,YODPRJPEMA,7706483551 Dell Way,,XYZVJVB,CO,57975,US,1,YODPRJPEMA@dell.com,7706483551,2,3907713198103011,2008/05,user138,password,43,20000,F
139,BZPTXD,WNVFDZRDWQ,8008482630 Dell Way,,CSZXTCL,MO,41216,US,1,WNVFDZRDWQ@dell.com,8008482630,4,7346554525196553,2008/10,user139,password,79,20000,M
140,LXSOUG,JZJIRMFHOX,4891437624 Dell Way,,HMRJYDS,OK,84489,US,1,JZJIRMFHOX@dell.com,4891437624,5,6533029990736396,2009/01,user140,password,46,80000,M
141,CHSIQS,RZJDFQSDYE,4451610678 Dell Way,,UIDYBVT,MO,71554,US,1,RZJDFQSDYE@dell.com,4451610678,4,7439413087442518,2011/06,user141,password,66,100000,M
142,JEJCWJ,LZPCSSAWNI,3047343803 Dell Way,,ZLJVFWN,NJ,63033,US,1,LZPCSSAWNI@dell.com,3047343803,2,1315480657387524,2012/04,user142,password,73,40000,F
143,DJHMUH,CXZVXWIGVU,1903096573 Dell Way,,QRAMEQB,ME,12305,US,1,CXZVXWIGVU@dell.com,1903096573,2,3506011716555804,2012/07,user143,password,70,100000,M
